Date,Day,Shift,Class,Subject,Paper Name,Paper Code,Year
19-Mar-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Physiology of Exercise,S-202,2nd
19-Mar-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Fundamentals of Sports Training,S-302,3rd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Algebra & Trigonometry,A-126,1st
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Algebra & Trigonometry,B-126,1st
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Maths,Linear Algebra and Matrices,A-226,2nd
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Maths,Linear Algebra and Matrices,B-226,2nd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Analysis,A-326,3rd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Analysis,B-326,3rd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Track & Field),S-103,1st
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Track & Field Events),S-203,2nd
20-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Kinesiology & Bio-Mechanics,S-303,3rd
20-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Research Methodology,I-302,2nd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Economics,Micro Economics,A-145,1st
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Economics,Micro Economics,B-145,1st
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Economics,Elementary Quantitative Methods,A-245,2nd
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Economics,Elementary Quantitative Methods,B-245,2nd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Economics,Indian Economy,A-336,3rd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Economics,Indian Economy,B-336,3rd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Gymnastics),S-104,1st
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Gymnastics),S-204,2nd
23-Mar-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),"B.Sc. (PE, HE & Sports)","B.Sc. (PE, HE & Sports)",Theory of Games & Sports (Track & Field),S-304,3rd
23-Mar-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Strategic Management,I-303,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,English,Short Stories,A-109,1st
24-Mar-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,English,British Poetry,A-209,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,English,Indian Writing in English Drama & Fiction,A-309,3rd
24-Mar-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Managerial Economics,I-305,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,Modern Western Philosophy,A-125,1st
24-Mar-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Philosophy,Logic (Indian & Western),A-225,2nd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,Social & Political Philosophy,A-425,3rd
24-Mar-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Philosophy,Applied Philosophy,A-426,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,Visual Programming,A-392,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Library & Info Science,Computer Applications in Libraries,A-321,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Library & Info Science,Knowledge Organisation in Libraries,A-221,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Basic Psychological Process,A-140,1st
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Psychology,Psychopathology,A-240,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Psychological Measurement & Testing,A-439,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Defence Studies,Evolution of Strategic Thought,A-304,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Defence Studies,Evolution of Strategic Thought,B-304,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Defence Studies,Art of War in India (After 1947),A-204,2nd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Defence Studies,Art of War in India (After 1947),B-204,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Home Science,Fundamentals of Food & Nutrition,A-317,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Home Science,Introduction to Textiles,A-217,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,Environmental Studies,A-311,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,Environmental Studies,B-311,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Geography,Economic Geography,A-211,2nd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Geography,Economic Geography,B-211,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Foundation of Physical Education,A-185,1st
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Physical Education,Health Education ,A-285,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Management in Physical Education,A-385,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Music,Vocal (Theory Paper),A-165,1st
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Music,Vocal (Theory Paper),A-365,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Music,Tabla (Theory Paper),A-369,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Drawing & Painting (Visual Art),Philosophy of Art and Modern Indian Painting (18th Century A.D. upto present age),A-303,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Drawing & Painting (Visual Art),History of Indian Painting (Primitive Art and 1st Century to 17th Century A.D.),A-203,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,"Plant Resource Utilization, Palynology, Plant Pathology and Biostatistics",B-301,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Botany,Diversity of Angiosperms: Systematics Development & Reproduction,B-201,2nd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Chemistry,Organic Chemistry,B-206,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Chemistry,Inorganic Chemistry,B-306,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Physics,Physical Optics and Lasers,B-216,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Relativity & Statistical Physics,B-316,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Zoology,Chordata,B-220,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Zoology,Applied & Economic Zoology,B-320,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Science,Visual Basic and Introduction to Web-Desigining,B-397,3rd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Industrial Chemical Analysis,B-353,3rd
25-Mar-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Statistics,Statistical Inference,B-294,2nd
25-Mar-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Non Parametric Methods and Numerical Analysis,B-394,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,Advanced Topics in Computer,A-393,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Application,Advanced Topics in Computer,B-393,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Computer Application,Advanced Topics in Computer,C-393,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Library & Info Science,Information Storage and Retrieval System,A-222,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Library & Info Science,Library Management,A-322,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Psychology,Social Psychology,A-241,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Experimental Methodology & Statistics,A-141,1st
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Counseling and Guidance,A-440,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Organizational Behaviour,A-441,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Health Psychology,A-442,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Psychology,Environmental Psychology,A-443,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Defence Studies,National Security,A-205,2nd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Defence Studies,National Security,B-205,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Defence Studies,Study of War & Peace,A-305,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Defence Studies,Study of War & Peace,B-305,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Geography,Geography of India,A-212,2nd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Geography,Geography of India,B-212,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South West Asia,A-512,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South West Asia,B-512,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South East Asia,A-513,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South East Asia,B-513,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Geography,South Asia,A-515,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Geography,South Asia,B-515,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Home Science,Child Development,A-218,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Home Science,Dietetics and Therapeutic Nutrition,A-318,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,History of Physical Education,A-186,1st
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Physical Education,Psychological Foundation of Physica; Education,A-286,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Kinesiology & Bio-Mechanics in Physical Education,A-386,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Botany,"Cytology, Genetics, Evolution & Ecology",A-202,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,Molecular Biology & Biotechnology,B-302,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Chemistry,Organic Chemistry,B-207,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Chemistry,Organic Chemistry,B-307,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Physics,Electromagnetics,B-217,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Solid State & Nuclear Physics,B-317,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Zoology,"Animal Distribution, Evolution and Developmental Biology",B-221,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Zoology,"Biotechnology, Immunology, Biological Tools and Techniques and Biostatistics",B-321,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Science,Computer Architecture & Data Communication,B-398,3rd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Chemical Process Economics and Industrial Organization,B-354,3rd
27-Mar-26,Friday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Statistics,Survey Sampling,B-295,2nd
27-Mar-26,Friday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Applied Statistics,B-395,3rd
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Computer Application,"Project Report - Java, Visual Basic, Web Technology and Oracle",A-690,3rd
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Introduction to Statistics & Computer Application in Physical Education,A-387,3rd
28-Mar-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Physical Education,Athletic Injuries & Rehabilitation,A-287,2nd
28-Mar-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Physical Education,Anatomy & Physiology in Physical Education,A-187,1st
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-001,1st
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-001,1st
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-001,1st
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-002,2nd
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-002,2nd
1-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-002,2nd
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Qualifying Course,Sports & Physical Education,A-003,3rd
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Qualifying Course,Sports & Physical Education,B-003,3rd
1-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Qualifying Course,Sports & Physical Education,C-003,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Botany,Plant Physiology and Biochemistry,B-203,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Botany,Environmental Botany,B-303,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Chemistry,Physical Chemistry,B-208,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Chemistry,Physical Chemistry,B-308,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Maths,Mechanics,B-228,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Numerical Methods and Fundamentals of Computer,B-328,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Physics,"Elements of Quantum Mechanics, Atomic and Moleculars Spectra",B-218,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Physics,Solid State Electronics,B-318,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Zoology,Physiology and Bio-Chemistry,B-222,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Zoology,"Ecology, Microbiology Animal Behaviour and Pollution and Toxicology",B-322,3rd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Computer Science,Introduction to DBNS_SQL & Software Engineering Concept,B-399,3rd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Polymers,B-455,3rd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Industrial Chemistry,Heavy and Fine Chemicals,B-459,3rd
2-Apr-26,Thursday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Statistics,Analysis of Variance and Design of Experiment,B-296,2nd
2-Apr-26,Thursday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Statistics,Linear Programming & Computational Techniques,B-396,3rd
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Foundation Course,Bhartiya Sanskriti Evam Rashtra Gaurav,A-009,1st
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Sc.,Foundation Course,Bhartiya Sanskriti Evam Rashtra Gaurav,B-009,1st
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Com,Foundation Course,Bhartiya Sanskriti Evam Rashtra Gaurav,C-009,1st
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),"B.Sc. (PE, HE & Sports)",Foundation Course,Bhartiya Sanskriti Evam Rashtra Gaurav,S-009,1st
4-Apr-26,Saturday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Political Science,Traditions of Political Thinking,G-170,1st
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Political Science,Research Methodology,G-370,2nd
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Sanskrit,Roopak & Champu Kavy,G-582,2nd
4-Apr-26,Saturday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Urdu,Folk Tradition In Urdu,G-362,2nd
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Political Science,Political Theory,A-138,1st
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Political Science,An Outline History of Western Political Thought,A-238,2nd
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Political Science,Principles of Public Administration,A-338,3rd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Security Analysis & Portfolio Management,I-401,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Marketing Management,I-403,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.Com.,Commerce,Human Resource Management,I-405,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,English,American Literature,G-312,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Hindi,Adhunik Kavya (Chayavad Prayant),G-325,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Maths,Integration Theory and Functional Analysis,G-349,2nd
6-Apr-26,Monday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Philosophy,Contemporaru Western Philosophy,G-545,2nd
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Sociology,Classical Thinkers,G-187,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Defence Studies,Theory and Development of war Since 1789 AD to 1945 AD,G-195,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Economics,Micro Economics I,G-106,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Education,Psychological Foundation of Education,G-102,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,History,"Historiography: Concepts, Methods, Approaches and Tools",G-137,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Sanskrit,"Ved, Upnishad, Shiksha & History of Vedic Literature",G-182,1st
6-Apr-26,Monday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Urdu,Origin & Develop of Urdu Language,G-162,1st
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Hindi Natak & Rangmanch,A-114,1st
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Hindi,Hindi Katha Sahitya,A-214,2nd
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Hindi,Hindi Nibandh and Anaya Gadh Vidyaye,A-314,3rd
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Commerce,Business Communication,C-101,1st
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.Com,Commerce,Company Law,C-201,2nd
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Com,Commerce,Corporate Accounting,C-301,3rd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Defence Studies,International Law,G-395,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Economics,Econometrics,G-410,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Economics,Gender Economics,G-309,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Economics,Industrial Economics and Entrepreneurship,G-406,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Economics,Economics of Insurance,G-411,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Economics,Computer Application of Economics,G-412,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Education,Comparative Education,G-302,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,History,Tourism in India,G-437,2nd
7-Apr-26,Tuesday,Shift-II (02:00 P.M. - 05:00 P.M.),M.A.,Political Science,Western Political Thought,G-371,2nd
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Political Science,Indian Political System,G-171,1st
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,English,Chaucher to Milton,G-112,1st
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Hindi,Hindi Sahitya Ka Itihas,G-125,1st
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Maths,Topology,G-149,1st
7-Apr-26,Tuesday,Shift-I (10:00 A.M. - 01:00 P.M.),M.A.,Philosophy,Ethics,G-145,1st
8-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.A.,Maths,Calculus,A-127,1st
8-Apr-26,Wednesday,Shift-I (10:00 A.M. - 01:00 P.M.),B.Sc.,Maths,Calculus,B-127,1st
8-Apr-26,Wednesday,Shift-II (02:00 P.M. - 05:00 P.M.),B.A.,Maths,Differential Equations and Integral Transforms,A-227,2nd
